user_rank,user_id,user_hash,embedding_0,embedding_1,embedding_2,embedding_3,embedding_4,embedding_5,embedding_6,embedding_7,embedding_8,embedding_9,class
12,5036,2768219eda7ae3ef7af489618abbb76f,0.0001484388828544,5.910804117110737e-05,-6.209186847295405e-05,2.8821197000743888e-05,2.8940685239142427e-05,-0.000169609557315,3.759143246109122e-05,0.0001754308345615,-0.0002112916545645,-7.641040584656406e-05,18
13,13863,5bec076865f710a6314a93765c324633,-0.0001661811019226,1.0072183347693684e-05,2.6782336606062107e-05,1.2557458506990911e-05,-2.8041055567655344e-05,-5.737912920734558e-05,-2.433796194121367e-05,-0.0001498614566995,-3.632348923604219e-05,0.0002052162473246,20
14,13215,84f4e6bf38260c7a117597a634a19651,-0.0001990236251123,-0.0001871883089209,0.00024561010867,0.0001408246198595,-6.37993912976292e-05,-0.0004201527982355,-5.484708885240038e-05,-0.0001517964830253,5.7730808138375295e-05,0.0003652790820749,0
15,8126,c58f54367b9f947ceff6e8cfa426346c,0.0002720851230482,-0.0003139422210178,-0.0001261622296706,0.0001538074960312,-0.0001442598973624,0.0001674279036149,-1.3701373279957205e-05,4.797044252625713e-05,-3.3955328309396965e-05,-0.0001415235212058,13
16,15829,6863084e5600ab4d3e450c05bb2276a9,-6.55004090381078e-06,-0.0001124483215996,-0.0001838736448684,-8.734506450260191e-06,-3.198265994518437e-05,0.0001778217027698,-1.465281027723716e-05,0.0001105897670172,-8.329958723761684e-05,-9.27019506938973e-05,6
17,421,c411684f86b76734deeb3739bb3ba8f7,3.619356868656511e-05,0.0003631820192125,-5.581951046537973e-06,8.739276027407444e-05,-1.5201353131329947e-05,-0.0001723642393192,-3.2219529273599284e-05,-0.000108681550473,-0.0004264452896889,0.0003978103541659,10
18,10147,8ea5f3fdb8e81e4f2e6bb25d1fd752f1,0.0001761074668008,0.0001402491604882,-4.184708154372085e-05,9.547308797351074e-05,-1.631008550735633e-05,-0.0001312315789001,9.625840433202298e-06,0.0001518328913887,-0.000117552350197,-0.0001004074440419,3
19,14538,fc27952b226ef32d2a378a99cd2a07ad,-0.0002836712639043,-0.0001253037841341,-0.0001762289378339,4.565990707351946e-05,-3.98514689224141e-05,7.980745293679596e-05,2.295863305141894e-05,7.490206974408606e-05,5.686173678480829e-05,-0.0001157455404538,1
20,14281,c564f8c55229d39aa88c74d639bdf838,-0.0001751846465075,-3.3221961384492874e-05,-1.7108333753593252e-06,8.167607842792531e-05,-8.208821087194429e-05,1.9620109698138877e-05,4.677852338229668e-05,9.53760134603201e-05,-0.0001483664562501,-5.137106950986438e-06,20
21,14776,88a96fd6886c35192bc869b51e70edd2,-0.0001056291603692,-0.0001288542232775,-2.0931934836215783e-05,1.4879036027658724e-05,-3.1247211965481795e-05,-5.584164847176049e-05,3.396975921879183e-05,0.0001883774027788,4.443651957322114e-05,3.6479633361042905e-06,20
22,15403,800a3d2d111d2e58d395143a1dcf34be,-0.0002283253713765,-0.0001129737844163,-0.0001040895359554,0.0001307333228952,-0.0001042289495282,6.531834211755056e-05,4.4130923306611776e-05,0.0001144726092596,-0.0001387624336795,-3.9830666037646845e-06,20
23,10533,a2fd08f5663c2bc65b69680d59edba8c,3.756915982135314e-06,5.25275110761312e-05,-0.0001109994614178,-8.43922251034607e-06,1.0848408014885206e-05,2.746497857521525e-06,-8.23746385577875e-06,-2.909743310250429e-05,-0.0001041037605112,9.12153403223773e-05,2
24,11701,8f25d1f4f9d8aa93d51efc488f7e4f22,0.0001533935804839,0.0001764516806644,-3.983341370346725e-05,-0.0002318564193218,0.0001487234760309,5.618446799561276e-05,4.707000656749482e-06,9.901980324010709e-06,4.390957489235618e-05,-0.0001000232378125,6
25,5226,9fdd8a9dbdfab564c8bec32f1ebfb953,-1.2706829406835995e-05,8.743195722567436e-05,0.0004271503987611,-0.0003828540393581,0.0001518952872575,4.960114379979427e-05,1.1497840523178944e-05,0.0001571664603436,0.0005278421845422,-0.0002861093159636,9
26,1874,99deafd9b792af8e6a535483088faef2,-0.0001574936259813,0.0001968872315985,-0.0001583500307382,-8.411398483467045e-05,3.4126611995662574e-05,0.0002699389455792,-2.1323298909180023e-05,-6.461668903928263e-05,-0.0001007692721012,0.0001343618739098,2
27,14738,f93683a56dab98c5eb2911343abf88cb,-0.0001897898578676,-1.998489670690178e-05,-4.512033253579128e-05,7.124976270720097e-05,-3.525415408486264e-05,-6.547793199047954e-05,2.6399136476238892e-05,-1.0609071272400357e-05,1.980419940898083e-06,7.582229469155556e-05,20
28,4001,51d81d51e080f52aafcc4c34ad497aea,-0.0004829207885234,-9.413368030749208e-05,-0.0004206164619326,8.987592999154123e-05,-2.788846995760165e-05,0.0003669413982221,1.377781084073126e-06,4.363619462472434e-05,7.59067034031715e-05,-0.0002484784079257,1
29,15824,ce7828c4359cd8adb4e83e860dd79b39,-7.563916513352466e-05,0.0001703008160725,-0.0002118164320247,6.273901577239021e-05,1.02598607888622e-05,-4.385301191987295e-05,4.328786604886725e-06,-5.246454680159391e-05,-0.000206732166882,9.961793852126575e-05,2
30,15770,375826754abd464625dcd7c5ce5339d9,8.271286675006017e-05,0.000174174994885,-0.0003897410242244,-0.0001145442382768,0.0001956468596194,-0.0001721447644635,6.6116976540610295e-06,-8.191134936348675e-06,0.0001536955856671,-7.299306347806803e-05,8
31,14873,f34bb71abe6e73869bcbb25a60cadfc1,-0.0004206477120098,-7.829489523073932e-05,-0.0004448089975965,7.024349807764506e-05,-3.470994364506704e-05,0.0002552316617681,-3.0692904991722686e-06,4.184546489380715e-05,1.7119700119099695e-05,-0.0002074815419388,1
32,7283,b47ef2eb8ae11e512687b40a8846d532,-3.963610771510812e-05,-8.68428090447991e-05,0.0003145375360093,0.0001047265584851,-7.636574141111323e-05,-0.0003793729077855,-5.209311530918501e-05,2.7505251055626417e-06,-0.0001350752641771,0.0002814469842496,0
